Date,CCI,BCI,inflation_rate,CSI,inflation_expectation
2019-01-01,101,100.52,1.60,91.20,2.7
2019-02-01,101.06,100.36,1.50,93.80,2.6
2019-03-01,101.27,100.23,1.90,98.40,2.5
2019-04-01,101.43,100.01,2.00,97.20,2.5
2019-05-01,101.52,99.81,1.80,100,2.9
2019-06-01,101.42,99.62,1.60,98.20,2.7
2019-07-01,101.20,99.41,1.70,98.40,2.6
2019-08-01,100.90,99.13,1.70,89.80,2.7
2019-09-01,100.90,98.92,1.80,93.20,2.8
2019-10-01,101.10,98.86,2.10,95.50,2.5
2019-11-01,101.37,98.88,2.30,96.80,2.5
2019-12-01,101.59,98.98,1.80,99.30,2.3
2020-01-01,101.59,99.15,2.50,99.80,2.5
2020-02-01,101.17,99.04,2.30,101,2.4
2020-03-01,100.19,98.63,1.50,89.10,2.2
2020-04-01,99.12,98.18,0.30,71.80,2.1
2020-05-01,98.63,98.41,0.10,72.30,3.2
2020-06-01,98.58,99.24,0.60,78.10,3.0
2020-07-01,98.60,99.95,1,72.50,3.0
2020-08-01,98.80,100.41,1.30,74.10,3.1
2020-09-01,99.11,100.71,1.40,80.40,2.6
2020-10-01,99.25,100.98,1.20,81.80,2.6
2020-11-01,99.21,101.15,1.20,76.90,2.8
2020-12-01,99.21,101.36,1.40,80.70,2.5
2021-01-01,99.22,101.54,1.40,79,3.0
2021-02-01,99.36,101.78,1.70,76.80,3.3
2021-03-01,99.72,101.98,2.60,84.90,3.1
2021-04-01,99.96,101.93,4.20,88.30,3.4
2021-05-01,99.90,101.85,5,82.90,4.6
2021-06-01,99.69,101.72,5.40,85.50,4.2
2021-07-01,99.23,101.58,5.40,81.20,4.7
2021-08-01,98.67,101.54,5.30,70.30,4.6
2021-09-01,98.38,101.58,5.40,72.80,4.6
2021-10-01,98.20,101.58,6.20,71.70,4.8
2021-11-01,98.04,101.50,6.80,67.40,4.9
2021-12-01,97.94,101.30,7,70.60,4.8
2022-01-01,97.71,101.12,7.50,67.20,4.9
2022-02-01,97.41,101.01,7.90,62.80,4.9
2022-03-01,97.17,100.85,8.50,59.40,5.4
2022-04-01,97.01,100.65,8.30,65.20,5.4
2022-05-01,96.61,100.44,8.60,58.40,5.3
2022-06-01,96.21,100.15,9.10,50,5.3
2022-07-01,96.18,99.94,8.50,51.50,5.2
2022-08-01,96.44,99.77,8.30,58.20,4.8
2022-09-01,96.66,99.54,8.20,58.60,4.7
2022-10-01,96.77,99.31,7.70,59.90,5.0
2022-11-01,96.84,99.09,7.10,56.80,5.0
2022-12-01,97.05,98.91,6.50,59.70,4.3
2023-01-01,97.35,98.77,6.40,64.90,3.9
2023-02-01,97.46,98.67,6,66.90,4.2
2023-03-01,97.35,98.58,5,62,3.6
2023-04-01,97.26,98.56,4.90,63.70,4.7
2023-05-01,97.26,98.53,4,59,4.2
2023-06-01,97.56,98.51,3,64.20,3.3
2023-07-01,97.92,98.59,3.20,71.50,3.4
2023-08-01,98,98.73,3.70,69.40,3.5
2023-09-01,97.83,98.80,3.70,67.90,3.2
2023-10-01,97.50,98.69,3.20,63.80,4.2
2023-11-01,97.13,98.57,3.10,61.30,4.5
2023-12-01,,,3.40,69.70,3.1
2024-01-01,,,3.10,79,2.9
2024-02-01,,,3.20,76.90,3.0
2024-03-01,,,3.50,79.40,2.9
